SINAL     NFT                         FFT                         NFT INVERSA     FFT INVERSA
-----     -----------------------     -----------------------     -----------     -----------
   54        1281.000       0.000     845613599330282.875 1340975592251587.500              54            211400042041906
  173        -164.648    -178.264     700535759134512.750 3299866958.905             173            397161531550912
  240         -80.000       7.000     -145087363247715.562 640434692281712.000             240            587317403127329
  201         -95.352     145.736     1195883831890093.000 495357898538116.875             201            43783665445841
  184        -169.000      -0.001     845617484413462.375 350271519452036.812             184            -649235339900069
  186         -95.351    -145.737     290171551229037.188 1556502847.717             186            -164509348902434
   78         -79.999      -7.000     -145082830658229.000 -350267437972693.812              78            128237922113784
  165        -164.647     178.262     -1195885774432423.000 495346174266264.875             165            203893203105985
